Removed: [ca] strings.xml: string/store__fiction_detail__surpass_percent (format mismatch)
Removed: [fr] plurals.xml: plurals/general__make_purchase_rule_item_detail (missing quantity)
Removed: [fr] plurals.xml: plurals/personal__attance_activity_check_in_bonus_number (missing quantity)
Removed: [fr] plurals.xml: plurals/personal__check_in_details_bonus_item_2 (missing quantity)
Removed: [fr] plurals.xml: plurals/personal__continuous_days_title (missing quantity)
Removed: [fr] plurals.xml: plurals/personal__welfare_details_bonus_item_3 (missing quantity)
Removed: [fr] plurals.xml: plurals/reading__chapter_wait_unlock_tips_chances_left_today (missing quantity)
Removed: [fr] plurals.xml: plurals/reading__wait_to_unlock_rule (missing quantity)
Removed: [fr] plurals.xml: plurals/revenu_dépenses_bonus (invalid name)
Removed: [fr] plurals.xml: plurals/revenu_dépenses_pièces (invalid name)
Removed: [hr] plurals.xml: plurals/le_notification_download_completed (format mismatch)
Removed: [hu] arrays.xml: array/nf_feedback_reason (item mismatch)
Removed: [hu] plurals.xml: plurals/le_notification_download_completed (format mismatch)
Removed: [ko] arrays.xml: array/nf_feedback_reason (item mismatch)
Removed: [ko] plurals.xml: plurals/le_notification_download_completed (format mismatch)
Removed: [sl] plurals.xml: plurals/le_notification_download_completed (format mismatch)
Removed: [uk] plurals.xml: plurals/le_notification_download_completed (format mismatch)
Removed: [vi] arrays.xml: array/nf_feedback_reason (item mismatch)
Removed: [vi] plurals.xml: plurals/le_notification_download_completed (format mismatch)
