Removed: [cs] arrays.xml: array/jarní_sezóna_název (invalid name)
Removed: [cs] arrays.xml: array/magic_effects_video_titles (item mismatch)
Removed: [cs] strings.xml: string/backup_pause_title (format mismatch)
Removed: [cs] strings.xml: string/photo_editor_navigator_download_network_metered_msg (format mismatch)
Removed: [fr] plurals.xml: plurals/share_album_detail_photo_count (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_home_pref_rooms (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_home_pref_screens (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_home_pref_share_home_summary (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_home_pref_unshare_home_summary (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_sync_textline_oversize (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_sync_textline_owner_upload_error (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_sync_textline_retry (missing quantity)
Removed: [fr] plurals.xml: plurals/share_album_sync_textline_sharer_upload_error (missing quantity)
Removed: [hr] plurals.xml: plurals/trash_vip_info_text_login_medium_or_low_level (format mismatch)
Removed: [hr] strings.xml: string/please accept protocol (invalid name)
Removed: [it] strings.xml: string/backup_pause_title (format mismatch)
Removed: [ja] strings.xml: string/photo_editor_navigator_download_network_metered_msg (format mismatch)
Removed: [ko] plurals.xml: plurals/add_secret_ensure_message (format mismatch)
Removed: [ru] plurals.xml: plurals/trash_vip_info_text_login_medium_or_low_level (format mismatch)
Removed: [sk] arrays.xml: array/magic_effects_video_titles (item mismatch)
Removed: [sk] strings.xml: string/backup_pause_title (format mismatch)
Removed: [sk] strings.xml: string/photo_editor_navigator_download_network_metered_msg (format mismatch)
