Removed: [it] arrays.xml: array/vendor_required_apps_managed_device (item mismatch)
Removed: [pl-v34] strings.xml: string/cope_provisioning_summary (format mismatch)
Removed: [pl-v34] strings.xml: string/device_already_set_up (format mismatch)
Removed: [pl-v34] strings.xml: string/device_doesnt_allow_encryption_contact_admin (format mismatch)
Removed: [pl-v34] strings.xml: string/device_has_reset_protection_contact_admin (format mismatch)
Removed: [pl-v34] strings.xml: string/encrypt_device_text_for_device_owner_setup (format mismatch)
Removed: [pl-v34] strings.xml: string/encrypt_device_text_for_profile_owner_setup (format mismatch)
Removed: [pl-v34] strings.xml: string/error_role_holder_hash_mismatch (format mismatch)
Removed: [pl-v34] strings.xml: string/error_role_holder_package_invalid (format mismatch)
Removed: [pl-v34] strings.xml: string/financed_device_screen_header (format mismatch)
Removed: [pl-v34] strings.xml: string/financed_make_payments_subheader_description (format mismatch)
Removed: [pl-v34] strings.xml: string/financed_make_payments_subheader_title (format mismatch)
Removed: [pl-v34] strings.xml: string/financed_restrict_device_subheader_description (format mismatch)
Removed: [pl-v34] strings.xml: string/financed_restrict_device_subheader_title (format mismatch)
Removed: [pl-v34] strings.xml: string/fully_managed_device_provisioning_permissions_secondary_subheader (format mismatch)
Removed: [pl-v34] strings.xml: string/fully_managed_device_provisioning_privacy_body (format mismatch)
Removed: [pl-v34] strings.xml: string/fully_managed_device_provisioning_step_2_header (format mismatch)
Removed: [pl-v34] strings.xml: string/fully_managed_device_provisioning_step_2_subheader (format mismatch)
Removed: [pl-v34] strings.xml: string/fully_managed_device_provisioning_summary (format mismatch)
Removed: [pl-v34] strings.xml: string/fully_managed_device_with_permission_control_provisioning_summary (format mismatch)
Removed: [pl-v34] strings.xml: string/reset_device (format mismatch)
Removed: [pl-v34] strings.xml: string/setup_device (format mismatch)
Removed: [pl-v34] strings.xml: string/setup_device_encryption (format mismatch)
Removed: [pl-v34] strings.xml: string/setup_device_progress (format mismatch)
Removed: [pl-v34] strings.xml: string/stop_setup_reset_device_question (format mismatch)
Removed: [pl-v34] strings.xml: string/this_will_reset_take_back_first_screen (format mismatch)
Removed: [pl-v34] strings.xml: string/work_profile_cant_be_added_contact_admin (format mismatch)
